date,temperature,rainfall,humidity
2024-03-21,25.4,0,56
2024-03-22,27,0,48
2024-03-23,28.1,0,41
2024-03-24,28.3,0,33
2024-03-25,28.2,0,32
2024-03-26,28.3,0,32
2024-03-27,28.6,0,26
2024-03-28,29,0,30
2024-03-29,29.3,0,28
2024-03-30,29,0,33
2024-03-31,28.6,0,33
2024-04-01,29,0,34
2024-04-02,30,0,38
2024-04-03,30.2,0,37
2024-04-04,30.3,0,39
2024-04-05,30.4,0,36
2024-04-06,30.8,0,28
2024-04-07,29.8,0,36
2024-04-08,29.5,0,33
2024-04-09,28.4,0,35
2024-04-10,28.1,0,39
2024-04-11,28.8,0,37
2024-04-12,28.2,0.02,49
2024-04-13,28.4,0,45
2024-04-14,28.8,0,42
2024-04-15,29.2,0,35
2024-04-16,29.6,0,35
2024-04-17,30.5,0,38
2024-04-18,30.5,2.14,44
2024-04-19,29.8,1.63,45
2024-04-20,30,1.33,48
2024-04-21,31.2,0,35
2024-04-22,30.9,0,34
2024-04-23,30.6,0,36
2024-04-24,30.1,0,25
2024-04-25,30.2,0,33
2024-04-26,30.4,0,30
2024-04-27,30.6,0,26
2024-04-28,30.9,0,27
2024-04-29,30.8,0,35
2024-04-30,31.2,0,37
2024-05-01,31.4,0,43
2024-05-02,31.3,0.5,44
2024-05-03,31.3,0.27,45
2024-05-04,30.7,0,40
2024-05-05,31.2,0.01,36
2024-05-06,31.5,0.09,40
2024-05-07,28.2,15.26,57
2024-05-08,28,3.3,55
2024-05-09,28.7,7.24,51
2024-05-10,27.5,8.11,56
2024-05-11,28.6,4.01,54
2024-05-12,28.7,1.39,52
2024-05-13,28.3,7.01,55
2024-05-14,29.2,4.24,49
2024-05-15,29.1,2.47,48
2024-05-16,27.3,2.87,58
2024-05-17,26.5,8,63
2024-05-18,26,5.01,64
2024-05-19,27,10.24,64
2024-05-20,26.2,12.41,71
2024-05-21,25.4,2.01,74
2024-05-22,27.9,0.45,61
2024-05-23,28.3,0.8,59
2024-05-24,27.4,25.58,63
2024-05-25,23.6,0.56,78
2024-05-26,25,0.53,70
2024-05-27,25.1,0,67
2024-05-28,26,0.98,60
2024-05-29,27.2,0.09,61
2024-05-30,27.4,22.17,66
2024-05-31,27.9,3.63,63
2024-06-01,26.5,64.93,69
2024-06-02,26.4,12.68,66
2024-06-03,26.4,4.99,65
2024-06-04,26,12.51,69
2024-06-05,24.9,13.07,74
2024-06-06,24.9,19.37,75
2024-06-07,22.4,10.44,84
2024-06-08,23.8,1.82,76
2024-06-09,22.6,0.89,76
2024-06-10,23.8,0.45,71
2024-06-11,23.6,0.07,69
2024-06-12,23.5,0.53,69
2024-06-13,21.4,0.47,77
2024-06-14,24.2,0.07,66
2024-06-15,25,0,62
2024-06-16,25.9,0.21,59
2024-06-17,25.4,1.57,64
2024-06-18,25.5,3.11,67
2024-06-19,25.6,0.42,65
2024-06-20,24.6,0.46,66
2024-06-21,23.3,2.42,72
2024-06-22,22.8,1.23,72
2024-06-23,23.4,0.12,70
2024-06-24,22.8,0.73,73
2024-06-25,24,0.2,70
2024-06-26,23.4,0.16,74
2024-06-27,23.4,0.09,72
2024-06-28,23.4,0.04,70
2024-06-29,24.3,0.05,70
2024-06-30,24.3,4.22,71
